modelname,threshold,grps,min_gini,mean_gini,max_gini,nDCG@10,RR
bm25,0,500,0.1906,0.2936,0.5632,,
bm25,30,500,0.1898,0.302,0.5755,,
bm25,60,500,0.2009,0.3271,0.5847,,
bm25,90,500,0.2372,0.4023,0.6741,,
bm25,0,1000,0.1776,0.2835,0.6098,,
bm25,30,1000,0.1793,0.2905,0.6072,,
bm25,60,1000,0.1871,0.3126,0.6318,,
bm25,90,1000,0.2082,0.3776,0.7123,,
bm25,0,2000,0.168,0.2709,0.7347,,
bm25,30,2000,0.1683,0.2772,0.6708,,
bm25,60,2000,0.1698,0.2962,0.7028,,
bm25,90,2000,0.1731,0.3515,0.7161,,
bm25,0,5000,0.1319,0.2493,0.6429,,
bm25,30,5000,0.1431,0.2541,0.6364,,
bm25,60,5000,0.1523,0.2684,0.6635,,
bm25,90,5000,0.1679,0.3072,0.6494,,
bm25,0,10000,0.1293,0.2325,0.6442,,
bm25,30,10000,0.1412,0.2359,0.6357,,
bm25,60,10000,0.1144,0.2462,0.6627,,
bm25,90,10000,0.1427,0.2733,0.6578,,
bm25_monot5,0,500,0.1897,0.2873,0.5519,,
bm25_monot5,30,500,0.1913,0.2976,0.5555,,
bm25_monot5,60,500,0.199,0.3233,0.5673,,
bm25_monot5,90,500,0.2315,0.4002,0.67,,
bm25_monot5,0,1000,0.1783,0.2776,0.591,,
bm25_monot5,30,1000,0.1796,0.2865,0.5964,,
bm25_monot5,60,1000,0.1893,0.3093,0.6192,,
bm25_monot5,90,1000,0.2056,0.3757,0.7049,,
bm25_monot5,0,2000,0.1688,0.2655,0.6919,,
bm25_monot5,30,2000,0.1688,0.2734,0.6266,,
bm25_monot5,60,2000,0.1685,0.293,0.667,,
bm25_monot5,90,2000,0.1724,0.3498,0.7082,,
bm25_monot5,0,5000,0.1284,0.2447,0.5977,,
bm25_monot5,30,5000,0.1378,0.2509,0.595,,
bm25_monot5,60,5000,0.1452,0.2658,0.6392,,
bm25_monot5,90,5000,0.1645,0.3057,0.6475,,
bm25_monot5,0,10000,0.1332,0.2285,0.5855,,
bm25_monot5,30,10000,0.1645,0.2332,0.5942,,
bm25_monot5,60,10000,0.1471,0.2437,0.6383,,
bm25_monot5,90,10000,0.1356,0.2716,0.6495,,
splade,0,500,0.1713,0.2799,0.5014,,
splade,30,500,0.1738,0.2931,0.5131,,
splade,60,500,0.1751,0.3228,0.5526,,
splade,90,500,0.1973,0.4172,0.6893,,
splade,0,1000,0.1672,0.2763,0.5398,,
splade,30,1000,0.1697,0.2884,0.5873,,
splade,60,1000,0.1727,0.3157,0.6618,,
splade,90,1000,0.1849,0.4017,0.7371,,
splade,0,2000,0.1641,0.2734,0.5526,,
splade,30,2000,0.1645,0.2845,0.5862,,
splade,60,2000,0.1677,0.3096,0.6615,,
splade,90,2000,0.1677,0.3864,0.7402,,
splade,0,5000,0.1634,0.2613,0.5549,,
splade,30,5000,0.1639,0.2702,0.5706,,
splade,60,5000,0.1636,0.2903,0.647,,
splade,90,5000,0.1646,0.3491,0.7181,,
splade,0,10000,0.1635,0.2473,0.5453,,
splade,30,10000,0.1646,0.2542,0.561,,
splade,60,10000,0.1638,0.2695,0.6362,,
splade,90,10000,0.1642,0.3129,0.7201,,
tctcolbert,0,500,0.1926,0.2847,0.4887,,
tctcolbert,30,500,0.1949,0.2992,0.5047,,
tctcolbert,60,500,0.1999,0.331,0.56,,
tctcolbert,90,500,0.2257,0.4344,0.6776,,
tctcolbert,0,1000,0.1822,0.2782,0.5563,,
tctcolbert,30,1000,0.1836,0.2913,0.6061,,
tctcolbert,60,1000,0.1913,0.3201,0.6722,,
tctcolbert,90,1000,0.2014,0.4103,0.7224,,
tctcolbert,0,2000,0.1703,0.2734,0.5607,,
tctcolbert,30,2000,0.1685,0.2851,0.6076,,
tctcolbert,60,2000,0.1752,0.3106,0.675,,
tctcolbert,90,2000,0.1759,0.3867,0.712,,
tctcolbert,0,5000,0.163,0.2599,0.5527,,
tctcolbert,30,5000,0.1642,0.2691,0.5957,,
tctcolbert,60,5000,0.1637,0.2887,0.6656,,
tctcolbert,90,5000,0.1679,0.3424,0.6898,,
